dataset,hash_run_1,row_count_run_1,column_count_run_1,hash_run_2,row_count_run_2,column_count_run_2,hash_matches,row_count_matches,column_count_matches,deterministic
gold_customer_order_summary,a187dabd0e39c863c1e30bb0e37b3b362b7f1e4727d9f1d2ee2a77c77d4b37a5,93358,11,a187dabd0e39c863c1e30bb0e37b3b362b7f1e4727d9f1d2ee2a77c77d4b37a5,93358,11,True,True,True,True
gold_daily_sales,cfc470d58f77e14f05464248054b16d10274069100dfb9ee339f3056ea25423c,612,9,cfc470d58f77e14f05464248054b16d10274069100dfb9ee339f3056ea25423c,612,9,True,True,True,True
gold_product_category_revenue,3ac217e301e5d55c70575e5f7bb654025fa07d2f8d721004b99a6e1cb8e68ce7,72,9,3ac217e301e5d55c70575e5f7bb654025fa07d2f8d721004b99a6e1cb8e68ce7,72,9,True,True,True,True
gold_public_sales_dashboard,af289f62a1af63757d139040b3a22702bdd2e2be41a98755be913765a0d67967,55872,8,af289f62a1af63757d139040b3a22702bdd2e2be41a98755be913765a0d67967,55872,8,True,True,True,True
gold_sales_by_state,eb85a5d69fa71b9c210dd87348df5d4167bf2889f4fb29d5d449412c09942480,27,8,eb85a5d69fa71b9c210dd87348df5d4167bf2889f4fb29d5d449412c09942480,27,8,True,True,True,True
